"Id","SalePrice"
1461,130559.473684211
1462,133437.736842105
1463,197202.631578947
1464,194915.789473684
1465,173321.210526316
1466,192647.368421053
1467,144449.342105263
1468,174624.789473684
1469,168110.921052632
1470,125687.105263158
1471,171836.078947368
1472,114988.157894737
1473,126120.526315789
1474,172923.342105263
1475,113779.815789474
1476,306594.236842105
1477,248914.947368421
1478,252224.842105263
1479,254418.578947368
1480,342212.578947368
1481,308800.394736842
1482,165047.289473684
1483,167165.447368421
1484,152163.210526316
1485,158790.368421053
1486,176718.421052632
1487,334067.026315789
1488,258541.263157895
1489,171996.210526316
1490,197133.684210526
1491,205150
1492,124764.289473684
1493,176437.5
1494,318086.684210526
1495,271092.578947368
1496,189338.157894737
1497,216984.868421053
1498,162177.236842105
1499,162177.236842105
1500,164786.605263158
1501,179145.447368421
1502,141506.394736842
1503,219163.421052632
1504,233070.815789474
1505,208923.210526316
1506,220674.289473684
1507,292071.868421053
1508,266384.921052632
1509,192884.210526316
1510,168651.868421053
1511,147960.184210526
1512,196717.105263158
1513,207185.605263158
1514,142829.921052632
1515,236962.368421053
1516,180045.447368421
1517,128760
1518,204037.263157895
1519,203611.289473684
1520,128088.947368421
1521,129787.526315789
1522,176360.842105263
1523,129113.157894737
1524,123960
1525,115697.368421053
1526,114988.157894737
1527,132595
1528,133138.157894737
1529,143298.342105263
1530,169858.736842105
1531,161142.815789474
1532,94200
1533,160268.421052632
1534,126380.263157895
1535,147936.421052632
1536,129029.052631579
1537,128770
1538,170084.315789474
1539,243895.236842105
1540,186593.947368421
1541,193249.447368421
1542,163782.157894737
1543,204905.657894737
1544,108382.894736842
1545,123342.763157895
1546,154311.5
1547,134216.684210526
1548,142068.552631579
1549,138457.973684211
1550,188836.973684211
1551,121160.657894737
1552,223492.342105263
1553,130680.263157895
1554,125043.421052632
1555,174552.631578947
1556,122126.973684211
1557,118078.947368421
1558,112372.368421053
1559,157786.5
1560,206417.842105263
1561,151093.078947368
1562,127664.236842105
1563,117153.947368421
1564,168653.447368421
1565,178177.684210526
1566,198182.684210526
1567,120895.605263158
1568,216235.315789474
1569,190628.947368421
1570,140032.710526316
1571,139239.052631579
1572,137144.342105263
1573,202257.315789474
1574,176787.842105263
1575,189644.763157895
1576,284266.657894737
1577,168332
1578,185341.105263158
1579,132109.473684211
1580,209813.289473684
1581,123036.315789474
1582,126911.842105263
1583,303229.684210526
1584,235423.263157895
1585,125931.342105263
1586,101405.552631579
1587,119200
1588,131957.263157895
1589,146547.368421053
1590,124946.842105263
1591,94989.4736842105
1592,128918.421052632
1593,124747.131578947
1594,216468.526315789
1595,139329.921052632
1596,215076.973684211
1597,219501.394736842
1598,190871.184210526
1599,139413.236842105
1600,157866.763157895
1601,93425.2894736842
1602,143240.026315789
1603,119544.947368421
1604,208488.289473684
1605,279112.052631579
1606,156322.315789474
1607,291276.078947368
1608,179183.684210526
1609,155016.763157895
1610,165175.315789474
1611,159787.815789474
1612,184088.394736842
1613,178432.368421053
1614,115275
1615,98784.2105263158
1616,98152.6315789474
1617,124847.5
1618,117903.710526316
1619,126535.526315789
1620,257648.315789474
1621,168723.342105263
1622,135685.105263158
1623,205508.289473684
1624,239200.421052632
1625,128090.789473684
1626,178071.842105263
1627,194231.578947368
1628,248221.552631579
1629,169918.421052632
1630,284700.105263158
1631,187969.473684211
1632,205785.526315789
1633,160105.026315789
1634,193015.789473684
1635,175987.289473684
1636,147199.342105263
1637,224410.657894737
1638,228780.263157895
1639,204452.631578947
1640,273189.131578947
1641,195102.763157895
1642,221568.526315789
1643,231448.447368421
1644,213603.236842105
1645,192194.736842105
1646,143347.184210526
1647,145398.342105263
1648,145342.105263158
1649,121588.947368421
1650,122434.473684211
1651,122434.473684211
1652,114988.157894737
1653,115222.368421053
1654,179711.236842105
1655,132159.026315789
1656,176989.131578947
1657,179711.236842105
1658,172923.342105263
1659,120180.026315789
1660,156219.842105263
1661,313125.131578947
1662,332178.368421053
1663,314399.5
1664,317110.210526316
1665,278558.815789474
1666,284106.157894737
1667,293984.263157895
1668,277367.052631579
